animal,isBig,isSmart,'is food for larger animals','especially lives in the country','good sense of smell','is grey','lives in families','builds nests','has a fur (in dutch: vacht)','has claws','has small paws','is not verry big','is short haired','makes a recognizable sound','heavy','carries over diseases','endangered species','is hunted','shy','also lives in the city','can cause much hinder','lives in cold areas','makes not much noise','often sits in parks','strong animal','takes good care of her children','usually has one young at a time','eats fruit','frightens people','has a long tail','has little eyes','is light'
'sheep',1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
'rabbit',0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1
'dove',0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1
'wolf',1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0
'eagle',0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0
'elephant',1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0
'squirrel',0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1
'whale',1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0
'alligator',1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0
'tiger',1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0
'donkey',1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
'owl',0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1
'horse',1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
'dinosaur',1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0
